frame_index,frame_name,nose_x,nose_y,nose_z,nose_conf,neck_x,neck_y,neck_z,neck_conf,r_shoulder_x,r_shoulder_y,r_shoulder_z,r_shoulder_conf,r_elbow_x,r_elbow_y,r_elbow_z,r_elbow_conf,r_wrist_x,r_wrist_y,r_wrist_z,r_wrist_conf,l_shoulder_x,l_shoulder_y,l_shoulder_z,l_shoulder_conf,l_elbow_x,l_elbow_y,l_elbow_z,l_elbow_conf,l_wrist_x,l_wrist_y,l_wrist_z,l_wrist_conf,mid_hip_x,mid_hip_y,mid_hip_z,mid_hip_conf,r_hip_x,r_hip_y,r_hip_z,r_hip_conf,r_knee_x,r_knee_y,r_knee_z,r_knee_conf,r_ankle_x,r_ankle_y,r_ankle_z,r_ankle_conf,l_hip_x,l_hip_y,l_hip_z,l_hip_conf,l_knee_x,l_knee_y,l_knee_z,l_knee_conf,l_ankle_x,l_ankle_y,l_ankle_z,l_ankle_conf,r_eye_x,r_eye_y,r_eye_z,r_eye_conf,l_eye_x,l_eye_y,l_eye_z,l_eye_conf,r_ear_x,r_ear_y,r_ear_z,r_ear_conf,l_ear_x,l_ear_y,l_ear_z,l_ear_conf,l_big_toe_x,l_big_toe_y,l_big_toe_z,l_big_toe_conf,l_small_toe_x,l_small_toe_y,l_small_toe_z,l_small_toe_conf,l_heel_x,l_heel_y,l_heel_z,l_heel_conf,r_big_toe_x,r_big_toe_y,r_big_toe_z,r_big_toe_conf,r_small_toe_x,r_small_toe_y,r_small_toe_z,r_small_toe_conf,r_heel_x,r_heel_y,r_heel_z,r_heel_conf
0,frame_00001_keypoints.json,503.7373717771996,472.6824387167378,1547.6801264808528,0.879166,503.38919499705185,450.4521207048406,1482.5285613813405,0.808203,502.29456113944207,449.05344435515985,1484.128640368809,0.831941,501.2520658252644,425.4772527496516,1416.2315114643686,0.261726,513.2854979891154,447.31827146164454,1422.8037839516637,0.35093,504.3894794146493,451.3761361670547,1479.3203072756799,0.960913,513.2291731580004,444.1113234183276,1412.4376403852473,0.871352,520.1711178813343,471.639217680955,1457.4840701696048,0.872209,518.613482583844,439.92630540327497,1375.5395682843434,0.847674,520.119116984323,444.50534621037883,1381.9022636173656,0.796722,548.2332623127721,484.1734553480174,1361.9694798970233,0.76255,550.3137617738506,463.2796308910935,1291.7844631456248,0.424641,516.7967177400418,434.5507548343778,1368.149579815036,0.889054,528.5952285355435,422.7425513313413,1280.697629281146,0.925429,520.9149979219617,378.492800824816,1176.0362792652008,0.858783,500.7835799824659,466.4863617571069,1545.861999347392,0.261291,500.65265536843145,466.200409627711,1545.6266449897432,0.917322,nan,nan,nan,nan,498.44048598057884,455.9241375849044,1526.453977873564,0.86603,530.8458851132145,388.9602846217328,1164.786840400717,0.659164,527.9490513272991,382.9072037827955,1157.2364968516804,0.729245,517.3639486180476,370.36721316144684,1164.9422615443407,0.740292,576.8549858005794,521.1431521403963,1313.9406266567562,nan,574.1012950179111,519.197198182311,1321.341671835649,nan,548.3210006404719,455.72338543446,1280.8430859856362,0.326723
1,frame_00002_keypoints.json,505.65378251959237,478.04235803243466,1552.5843160460709,0.911412,505.40921010969254,455.5885193849287,1487.085219155074,0.848118,504.18622638302463,454.65454377219623,1490.7480995128606,0.827006,504.49752980063545,432.506174365473,1421.2654805925524,0.864051,517.4377764014413,455.3192996331721,1425.2958644103583,0.725898,506.2261021238581,455.58935228988605,1482.331440725806,0.910783,513.7734440011343,445.0401246763299,1412.8056512973735,0.855901,522.4585381428449,472.07207763262477,1448.0322527361632,0.887826,520.005476302483,443.13448763039366,1378.3913635027313,0.836133,522.1738063006499,449.46002909816366,1386.398627760628,0.878795,550.6265587117482,488.4235348683918,1362.77656754803,0.933127,557.3990183612824,470.39186019997516,1285.0050417150164,0.903647,518.5416279189942,438.35679539486944,1371.2152604194014,0.860917,532.6839736999165,428.9430011772724,1281.7247706210135,0.90818,519.0216559786413,383.54798567676846,1200.641667209809,0.918568,500.7835799824659,466.4863617571069,1545.861999347392,0.261719,502.8920831602409,471.7930705165293,1549.5932025614231,0.826991,nan,nan,nan,nan,499.9442187985069,460.0611982803978,1530.6457071078667,0.924191,524.4690776825635,384.2672077574291,1177.6161116996418,0.739193,521.9396507440629,380.49596730934724,1176.17570811613,0.848176,516.0226354973945,377.5381523372344,1194.0779012430894,0.814968,584.3214633555693,528.8294620323794,1307.637703494436,0.681554,580.3912096793384,523.5243421077375,1312.7038430471212,0.652316,556.6712135819118,463.24512254477486,1270.8479638743618,0.814017
2,frame_00003_keypoints.json,506.9659883262051,481.8081368467563,1556.1714172004552,0.840531,506.46486766554665,459.26789179144305,1492.373033234256,0.87055,505.7406758014255,459.646852332291,1497.1809073815768,0.914588,507.9293021358215,441.8120904950697,1431.2994618133825,0.899992,520.3434636275078,467.5475339171024,1443.7699475021823,0.793741,506.7672783623222,458.2144628078851,1487.3779716083518,0.918795,511.70241081319875,442.2894436059869,1414.9200354367244,0.856496,521.3775630452895,467.7273070857412,1441.09098139248,0.938902,521.8684011083196,447.9463247074238,1383.3469347329942,0.864977,523.4714509451902,453.0176856329721,1390.3805497435487,0.807519,548.1929092507401,479.5031310435068,1350.3953512549274,0.892151,553.6231759669137,455.8739493409083,1261.8543153097933,0.869676,520.2887949312646,442.95386312857306,1376.2909609911806,0.912887,538.2265612297031,449.07750812735156,1308.8004825683738,0.7921,523.6755507121212,396.288201153828,1219.434502738076,0.91382,504.0645645277007,476.66843763434866,1557.2369569227567,nan,504.3637476835377,476.25158137947403,1554.4165712048411,0.923742,nan,nan,nan,nan,501.0079501878304,463.0588552861116,1533.7893361894814,0.834416,530.104949440809,397.69437204878716,1195.0934582712412,0.751722,527.271553344511,393.97390580259605,1195.226720873066,0.847982,520.4455797920951,390.20738100294966,1214.0959415146467,0.723463,577.6414016385756,502.7809456255946,1274.7728870152655,0.737716,574.0758227816345,497.97489968387333,1278.5195767730547,0.723464,551.9081036600255,447.47792320108147,1246.587169879382,0.797981
3,frame_00004_keypoints.json,508.81315054583445,489.95382037907814,1569.6507197247863,0.947395,508.2058525797458,466.7881807774892,1505.339749952443,0.80098,507.7749654200026,467.9006323357871,1510.2258428201812,0.810532,509.39062111485663,450.785311510101,1449.7077403618455,0.411445,521.7565372424615,478.0827381751061,1465.690508020509,0.489549,508.74556423878266,466.5110464626802,1501.9603401299862,0.878831,510.88498159576363,444.75156627642536,1426.7817597514324,0.907129,520.8765812230365,470.06836978569055,1450.207426373379,0.88728,524.6643737252286,457.52470287754056,1397.4630914710822,0.797503,525.6468289739012,460.9442414916977,1402.6394819862435,0.798323,545.7464083362835,476.56285147667825,1352.4209458286794,0.971105,551.7313679292295,449.44761157465757,1249.2634103001706,0.819098,523.517471344551,453.72264630167217,1391.7472671231221,0.893739,543.0446694804366,469.7641103905938,1336.575314667702,0.806885,531.5406348813561,424.8831698353248,1253.3803739337295,0.84532,507.13661867829427,490.1150143236874,1579.619952952223,nan,506.27209888233904,484.7394552588448,1568.9364696722666,0.874359,nan,nan,nan,nan,502.7743402749137,470.27386744205495,1545.7994262528618,0.965346,537.3835285490192,432.58336589598036,1233.5125997811524,0.698689,534.332072502654,425.62169233371594,1230.5675061394645,0.739258,529.2006534054832,418.7492570438142,1247.207100280002,0.660296,565.2261264687612,475.0272906548524,1250.0749978136287,0.687323,561.7772882935634,470.3457725942195,1252.682754105701,0.638177,549.6812490051038,439.797009442064,1231.089236665282,0.793669
4,frame_00005_keypoints.json,511.1614667973543,498.9448535644977,1581.9990630031966,0.937236,510.85764187169354,475.4661456193183,1516.369482005686,0.885292,511.58021854969286,479.7333802610968,1524.164525973348,0.849944,515.2130239929563,466.51285255773763,1466.3872227177037,0.734272,526.751991784861,492.99513394275874,1481.243943120288,0.822726,510.6444141927201,473.5678194540802,1512.3972778284237,0.90524,510.3370750003538,445.39906750007697,1431.3618141131292,0.917398,523.8112695643612,474.2840065169871,1447.0685930423663,0.917463,528.0735140614918,467.70492704071876,1409.3475974219623,0.819687,528.426542626378,469.3486547898572,1412.5443154198547,0.812299,544.6704596379756,469.96566436520345,1340.7376450939746,0.833866,545.6904672287919,442.54572513017956,1254.5208970860451,0.860348,527.9360287986526,466.6510899024226,1406.776100803262,0.789259,552.090506371301,497.20813989512624,1368.6419204334557,0.857269,548.5085341306586,470.00054441884015,1297.3019839978574,0.793016,511.51434363136394,504.84628112642093,1596.8270844949811,0.282575,508.86552550644984,494.0394904844434,1581.0459240474775,0.870739,nan,nan,nan,nan,505.19165111131804,478.610007427098,1557.0809122291637,0.949856,553.3034069272677,484.4128965770875,1286.7779852381204,0.715721,551.9382617457213,479.14836693345904,1284.1352672101427,0.710634,547.0721080223218,465.0297624699806,1292.7601619179936,0.681452,556.653405991585,463.3023581574127,1251.0682088388508,0.713175,553.3840074617648,458.23997719229055,1251.8402648885285,0.564964,544.2608592072935,435.4790244087765,1241.211633393766,0.794263
5,frame_00006_keypoints.json,514.5073521025524,509.5099987636503,1592.0559772721267,0.856593,513.8514565814528,484.2408418379906,1525.5087612726386,0.828069,514.6180494817638,488.8842414308086,1534.3968200315749,0.831737,519.1207882902576,475.8992848888076,1474.7791630326262,0.292377,529.7413759334595,503.351201838568,1495.2969221463572,0.323881,513.623596866764,482.24551791926206,1520.588944606265,0.951162,513.1507469246652,453.9711692348268,1440.616171092541,0.926606,527.1990477898437,485.2598084708936,1456.9389217876817,0.813532,531.3450437392248,476.8750059164091,1418.7430536366705,0.820281,531.3411353792656,477.9191583332073,1421.8882334632056,0.770211,547.716646593675,479.89957618848473,1348.8313847196669,0.901754,535.7704339499704,424.97567499146464,1254.3109913883213,0.828741,531.2211389752248,475.75689843748813,1416.1398549232813,0.770072,559.3032173593496,515.0896266075579,1385.4795970586806,0.894331,562.1837972429026,492.08294562151804,1308.5932040596604,0.886172,511.51434363136394,504.84628112642093,1596.8270844949811,0.282066,511.77529834488996,503.55571607530453,1591.389636352081,0.937893,nan,nan,nan,nan,508.1373324510938,487.994156378409,1567.3865548198478,0.835318,570.1460990909268,515.9843100827097,1311.586315221636,0.699842,568.6387732346544,508.33666284977824,1304.6554525026345,0.739081,560.7369210414524,485.7021814010307,1300.671580165395,0.807006,543.2246548353871,433.22937049646146,1240.6179651409245,0.570201,540.6776796283222,428.90218780959185,1239.7721588690256,0.533807,533.0547684100096,417.80821402730027,1244.9003014236166,0.833747
6,frame_00007_keypoints.json,516.6792307369747,519.7591253805117,1607.3166979888285,0.89055,515.8285841330403,493.6191668235019,1540.7651090290162,0.906783,515.6100036080798,494.55232754217997,1545.1083258548754,0.802922,518.9167209256448,479.3373134591544,1485.7135993972936,0.390016,529.1906048362946,507.5481267604215,1508.9024058006812,0.430984,516.3942797326439,494.75969554195706,1539.7486580510886,0.917522,518.1441048934596,473.3613996678526,1466.432227352021,0.908391,529.2173506661595,502.77398573594985,1489.9628164388776,0.882561,533.9538444875046,488.613468447203,1437.2905269566863,0.911091,532.3072807228757,484.68515154460385,1435.1040524905518,0.827653,544.3795927090089,473.32406995621096,1346.698160365293,0.870115,526.2804911867919,407.9622954953244,1246.2028363557079,0.782761,534.6652667945169,490.2236555517522,1437.5141333365102,0.902989,564.4153681520937,545.4353972891074,1430.083096075196,0.85654,576.3450375357019,526.3426266172818,1333.2525389430443,0.862296,511.51434363136394,504.84628112642093,1596.8270844949811,0.285419,514.0185817334182,514.2254395970806,1607.7300115210783,0.890046,nan,nan,nan,nan,510.3283381496596,497.58556148417335,1582.2812790978119,0.903368,589.1211302231872,565.8567867548261,1350.8506683131932,0.652057,587.1076964480994,553.1304676466928,1337.0154733012218,0.745952,574.2565499389066,515.3394364405583,1319.198952564872,0.787919,532.2891424915432,407.35037106566415,1220.8764155458532,0.518639,529.6866511136982,403.7278587812184,1219.984364264896,0.548266,522.6231316311062,400.8862572229864,1239.5685448367221,0.698247
7,frame_00008_keypoints.json,519.6080358423224,533.4598720431029,1626.5425867799509,0.819765,518.4434497033146,504.9095351334803,1557.3373104220213,0.835866,517.1336328193128,502.1694210134436,1557.8087014769467,0.885936,518.5384477339129,481.69394926606657,1494.039473843954,0.787558,529.1390688282797,506.92516538012796,1507.6088810390222,0.566012,520.4901436234848,510.46784902841654,1559.6510568522156,0.85406,525.296336837954,496.6092374531055,1492.8336362657462,0.866417,534.6866556317035,525.3701091708888,1520.1034096936448,0.886534,536.3439866725009,500.26879677353173,1455.4309472047958,0.871586,534.8174528875744,496.30055505038763,1452.604129589746,0.85022,551.7176151419304,504.44421416970073,1383.923877562828,0.8267,540.1392641446434,463.4511867513347,1302.9257633319473,0.773005,537.6200968688297,503.1182213434724,1456.3864181596991,0.893665,563.0302051161461,540.157089195535,1424.2218005125,0.922027,572.4334645720216,521.7535690534621,1336.6651543087362,0.835788,511.9582486379606,508.75312699521544,1605.2471907057286,nan,516.6513809339076,525.788303194525,1623.6922715895728,0.854672,nan,nan,nan,nan,513.5457956863861,510.974996769211,1601.0628392524754,0.852321,582.307053630939,556.6739326045755,1352.4170718387143,0.617824,580.690973554719,544.7506811835782,1339.3947868292169,0.689879,570.3916321904724,511.567744599001,1324.784871488579,0.894043,543.1688005331478,470.0027390796193,1285.0447329036688,0.541315,540.7703070433843,465.0146600792762,1283.7349561031274,0.565828,537.7083351698964,458.10690335390944,1298.7459415994394,0.700509
8,frame_00009_keypoints.json,521.8197379003886,541.118990109407,1634.251855003816,0.953561,519.9903360971408,510.51676922708725,1564.2997807361849,0.9074,517.5879400093936,504.232352646278,1560.9807278352853,0.839667,518.5350324133,480.8665588205431,1491.6959793506883,0.932516,530.2207984420048,507.87720363592916,1504.5370705500425,0.783738,523.2232267058992,519.5435948027929,1569.5375301695767,0.872408,531.4348845949029,512.6854238345489,1505.9526207809708,0.85945,539.3219664954336,541.9523065002276,1539.458412885958,0.805138,538.2148893127811,506.274250732496,1461.9266036536833,0.856913,536.732670298914,502.05661914705433,1458.3913455367522,0.882753,557.7766589867689,522.4877452958492,1401.3044830484291,0.798668,547.1752233308887,486.09855555859497,1329.6350309144088,0.779164,539.3670707060912,509.03363141009567,1463.056098154062,0.907578,562.5383438409433,536.8201315868321,1418.6281537982975,0.881484,567.8331983131234,510.4385018667163,1329.2692099134224,0.821205,514.5239546842053,517.3488296432405,1614.4281961331064,nan,518.681339990801,532.912488407508,1631.4056215471426,0.92545,nan,nan,nan,nan,515.6079938247212,517.8314172162455,1608.4786739830283,0.948405,576.7300530806758,538.5500927522486,1338.459549551583,0.739659,574.7947056446724,528.5077118154535,1328.6868249313395,0.777228,565.2900134084134,500.7946418117447,1319.8164435305687,0.744782,550.069744219059,496.5002561565533,1318.4850558778157,0.51193,547.8170962189107,491.3110090401942,1317.334829269838,0.496062,545.3684840258784,481.5250909930845,1326.244357788569,0.766247
9,frame_00010_keypoints.json,523.8807706324479,548.9928997590677,1642.8911727122802,0.89966,521.3448886031051,516.0302970253679,1571.738364919429,0.846171,517.251153583877,504.73306003093757,1564.1256562159153,0.906009,516.3026967134939,476.4380361651437,1490.8508270960726,0.917415,528.5839720140394,503.6569223980371,1502.0714758164793,0.787408,526.2627964366435,530.0299485683692,1580.9247513882365,0.913838,537.7647318553103,532.2454422645737,1525.794466296565,0.817855,542.2070948197957,557.7521379179085,1563.0387353564945,0.588323,538.8492837420191,510.88238488251136,1470.2499387744417,0.844416,537.2390336566281,506.382792553314,1466.6994687500635,0.825132,562.01009201642,541.3696872482749,1424.4580371838638,0.913612,558.5218263120065,512.5577746560188,1339.320097603818,0.923884,540.0424259603438,513.4913652044607,1470.6491552864936,0.851661,561.2682122728634,535.8626697925987,1420.4956110274882,0.809303,557.1001450870489,484.819858170053,1317.501980857009,0.856524,nan,nan,nan,nan,520.3553490832927,539.1030503375611,1638.151120776901,0.851107,nan,nan,nan,nan,517.723784113704,525.6389390953527,1617.8729788782682,0.940117,566.2703472293662,506.9422052504639,1317.940677363069,0.752603,563.208898330738,494.61843129501773,1308.2100948143343,0.852748,553.2750644128993,473.0672530336272,1308.2902064200232,0.660538,563.9247970404414,532.1608450352861,1335.8392063341385,0.776422,561.2524654742928,525.9605921291558,1335.1665888913453,0.726856,557.0991824077429,507.0921682577379,1332.3244858398555,0.825494
